,precision,recall,f1-score,support
ballad,0.2222222222222222,0.14285714285714285,0.17391304347826086,14.0
blank verse,0.15789473684210525,0.42857142857142855,0.23076923076923078,7.0
common measure,0.14285714285714285,0.2222222222222222,0.17391304347826086,9.0
couplet,0.5932203389830508,0.47297297297297297,0.5263157894736842,74.0
free verse,0.6,0.6923076923076923,0.6428571428571429,13.0
haiku,0.8,1.0,0.8888888888888888,4.0
limerick,0.0,0.0,0.0,1.0
pantoum,0.0,0.0,0.0,1.0
quatrain,0.0,0.0,0.0,3.0
sonnet,0.954954954954955,0.8907563025210085,0.9217391304347826,119.0
unfixed,0.22807017543859648,0.2826086956521739,0.2524271844660194,46.0
accuracy,0.5979381443298969,0.5979381443298969,0.5979381443298969,0.5979381443298969
macro avg,0.3362926882998247,0.37566331428224015,0.3464384958042064,291.0
weighted avg,0.6341280458738177,0.5979381443298969,0.6109074173756415,291.0
