,precision,recall,f1-score,support
ballad,0.2857142857142857,0.14285714285714285,0.19047619047619047,14.0
blank verse,0.16666666666666666,0.42857142857142855,0.24,7.0
common measure,0.14285714285714285,0.2222222222222222,0.17391304347826086,9.0
couplet,0.59375,0.5135135135135135,0.5507246376811594,74.0
free verse,0.6,0.6923076923076923,0.6428571428571429,13.0
haiku,0.8,1.0,0.8888888888888888,4.0
limerick,0.0,0.0,0.0,1.0
pantoum,0.0,0.0,0.0,1.0
quatrain,0.0,0.0,0.0,3.0
sonnet,0.956140350877193,0.9159663865546218,0.9356223175965666,119.0
unfixed,0.2641509433962264,0.30434782608695654,0.2828282828282828,46.0
accuracy,0.6219931271477663,0.6219931271477663,0.6219931271477663,0.6219931271477663
macro avg,0.3462981263192286,0.3836169283739616,0.35502822761877195,291.0
weighted avg,0.6437165845463688,0.6219931271477663,0.6286163658528098,291.0
