,precision,recall,f1-score,support
gazel,0.5161290322580645,0.8,0.6274509803921569,20.0
hrdinský kuplet,0.9074074074074074,0.98,0.9423076923076923,50.0
limerik,1.0,1.0,1.0,2.0
rondel,1.0,0.8181818181818182,0.9,11.0
sapfická strofa,0.7272727272727273,0.8421052631578947,0.7804878048780488,19.0
sonet,1.0,1.0,1.0,1135.0
sonet anglický,1.0,1.0,1.0,7.0
stance,0.9,0.9574468085106383,0.9278350515463918,47.0
tercína,1.0,1.0,1.0,16.0
unfixed,0.9899159663865547,0.9743589743589743,0.9820758649437266,1209.0
accuracy,0.9829093799682035,0.9829093799682035,0.9829093799682035,0.9829093799682035
macro avg,0.9040725133324754,0.9372092864209327,0.9160157394068017,2516.0
weighted avg,0.9855403561983536,0.9829093799682035,0.9838361051890129,2516.0
