Experiment,Form,Precision,Recall,F1-Score,Support
FULL_MODEL,gazel,0.48484848484848486,0.8,0.6037735849056604,20.0
FULL_MODEL,hrdinský kuplet,0.8771929824561403,1.0,0.9345794392523364,50.0
FULL_MODEL,limerik,1.0,1.0,1.0,2.0
FULL_MODEL,rondel,1.0,0.8181818181818182,0.9,11.0
FULL_MODEL,sapfická strofa,0.6956521739130435,0.8421052631578947,0.7619047619047619,19.0
FULL_MODEL,sonet,1.0,1.0,1.0,1135.0
FULL_MODEL,sonet anglický,1.0,1.0,1.0,7.0
FULL_MODEL,stance,0.9183673469387755,0.9574468085106383,0.9375,47.0
FULL_MODEL,tercína,1.0,1.0,1.0,16.0
FULL_MODEL,unfixed,0.9907172995780591,0.9710504549214226,0.9807852965747702,1209.0
ABLATE_line_count,gazel,0.48484848484848486,0.8,0.6037735849056604,20.0
ABLATE_line_count,hrdinský kuplet,0.8771929824561403,1.0,0.9345794392523364,50.0
ABLATE_line_count,limerik,1.0,1.0,1.0,2.0
ABLATE_line_count,rondel,1.0,0.8181818181818182,0.9,11.0
ABLATE_line_count,sapfická strofa,0.6956521739130435,0.8421052631578947,0.7619047619047619,19.0
ABLATE_line_count,sonet,1.0,1.0,1.0,1135.0
ABLATE_line_count,sonet anglický,1.0,1.0,1.0,7.0
ABLATE_line_count,stance,0.9183673469387755,0.9574468085106383,0.9375,47.0
ABLATE_line_count,tercína,1.0,1.0,1.0,16.0
ABLATE_line_count,unfixed,0.9907172995780591,0.9710504549214226,0.9807852965747702,1209.0
ABLATE_total_syllables,gazel,0.47058823529411764,0.8,0.5925925925925926,20.0
ABLATE_total_syllables,hrdinský kuplet,0.8771929824561403,1.0,0.9345794392523364,50.0
ABLATE_total_syllables,limerik,1.0,1.0,1.0,2.0
ABLATE_total_syllables,rondel,1.0,0.8181818181818182,0.9,11.0
ABLATE_total_syllables,sapfická strofa,0.6956521739130435,0.8421052631578947,0.7619047619047619,19.0
ABLATE_total_syllables,sonet,1.0,1.0,1.0,1135.0
ABLATE_total_syllables,sonet anglický,1.0,1.0,1.0,7.0
ABLATE_total_syllables,stance,0.9183673469387755,0.9574468085106383,0.9375,47.0
ABLATE_total_syllables,tercína,1.0,1.0,1.0,16.0
ABLATE_total_syllables,unfixed,0.9907094594594594,0.9702233250620348,0.9803593815294609,1209.0
ABLATE_average_syllable_count,gazel,0.5,0.8,0.6153846153846154,20.0
ABLATE_average_syllable_count,hrdinský kuplet,0.8620689655172413,1.0,0.9259259259259259,50.0
ABLATE_average_syllable_count,limerik,1.0,1.0,1.0,2.0
ABLATE_average_syllable_count,rondel,1.0,0.8181818181818182,0.9,11.0
ABLATE_average_syllable_count,sapfická strofa,0.6956521739130435,0.8421052631578947,0.7619047619047619,19.0
ABLATE_average_syllable_count,sonet,1.0,1.0,1.0,1135.0
ABLATE_average_syllable_count,sonet anglický,1.0,1.0,1.0,7.0
ABLATE_average_syllable_count,stance,0.9,0.9574468085106383,0.9278350515463918,47.0
ABLATE_average_syllable_count,tercína,1.0,1.0,1.0,16.0
ABLATE_average_syllable_count,unfixed,0.9907094594594594,0.9702233250620348,0.9803593815294609,1209.0
ABLATE_stanza_scheme,gazel,0.47058823529411764,0.8,0.5925925925925926,20.0
ABLATE_stanza_scheme,hrdinský kuplet,0.7543859649122807,0.86,0.8037383177570093,50.0
ABLATE_stanza_scheme,limerik,1.0,1.0,1.0,2.0
ABLATE_stanza_scheme,rondel,1.0,0.8181818181818182,0.9,11.0
ABLATE_stanza_scheme,sapfická strofa,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
ABLATE_stanza_scheme,sonet,0.9338487972508591,0.9577092511013215,0.9456285341452806,1135.0
ABLATE_stanza_scheme,sonet anglický,0.3333333333333333,0.2857142857142857,0.3076923076923077,7.0
ABLATE_stanza_scheme,stance,1.0,0.9361702127659575,0.967032967032967,47.0
ABLATE_stanza_scheme,tercína,1.0,1.0,1.0,16.0
ABLATE_stanza_scheme,unfixed,0.9536878216123499,0.9197684036393714,0.9364210526315789,1209.0
ABLATE_rhyme_scheme_per_stanza,gazel,0.4722222222222222,0.85,0.6071428571428571,20.0
ABLATE_rhyme_scheme_per_stanza,hrdinský kuplet,0.819672131147541,1.0,0.9009009009009009,50.0
ABLATE_rhyme_scheme_per_stanza,limerik,0.6666666666666666,1.0,0.8,2.0
ABLATE_rhyme_scheme_per_stanza,rondel,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
ABLATE_rhyme_scheme_per_stanza,sapfická strofa,0.3902439024390244,0.8421052631578947,0.5333333333333333,19.0
ABLATE_rhyme_scheme_per_stanza,sonet,1.0,1.0,1.0,1135.0
ABLATE_rhyme_scheme_per_stanza,sonet anglický,1.0,1.0,1.0,7.0
ABLATE_rhyme_scheme_per_stanza,stance,0.8363636363636363,0.9787234042553191,0.9019607843137255,47.0
ABLATE_rhyme_scheme_per_stanza,tercína,1.0,1.0,1.0,16.0
ABLATE_rhyme_scheme_per_stanza,unfixed,0.9921807124239791,0.9445822994210091,0.9677966101694915,1209.0
ABLATE_rhyme_scheme,gazel,0.4146341463414634,0.85,0.5573770491803278,20.0
ABLATE_rhyme_scheme,hrdinský kuplet,0.9433962264150944,1.0,0.970873786407767,50.0
ABLATE_rhyme_scheme,limerik,1.0,1.0,1.0,2.0
ABLATE_rhyme_scheme,rondel,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
ABLATE_rhyme_scheme,sapfická strofa,0.4444444444444444,0.8421052631578947,0.5818181818181818,19.0
ABLATE_rhyme_scheme,sonet,1.0,1.0,1.0,1135.0
ABLATE_rhyme_scheme,sonet anglický,1.0,1.0,1.0,7.0
ABLATE_rhyme_scheme,stance,0.8363636363636363,0.9787234042553191,0.9019607843137255,47.0
